PacketType,PayloadLen,DeviceID,Timestamp,PacketID,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Flags,Battery,CRC
2,24,2,3786,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,81
2,24,1,3787,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,154
2,24,3,3788,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,235
2,24,2,3791,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,103
2,24,1,3792,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,99
2,24,3,3794,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,78
2,24,1,3798,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,208
2,24,3,3799,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,52
2,24,2,3800,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,255
2,24,1,3803,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,181
2,24,2,3805,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,81
2,24,3,3806,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,183
2,24,1,3809,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,159
2,24,2,3810,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,39
2,24,3,3812,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,157
2,24,2,3815,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,17
2,24,1,3816,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,132
2,24,3,3817,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,96
2,24,1,3821,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,254
2,24,3,3822,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,105
2,24,2,3823,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,252
2,24,1,3826,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,78
2,24,3,3827,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,170
2,24,2,3828,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,170
2,24,1,3832,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,208
2,24,2,3833,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,27
2,24,3,3835,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,71
2,24,1,3843,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,236
2,24,2,3845,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,8
2,24,3,3846,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,238
2,24,1,3849,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,114
2,24,3,3850,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,229
2,24,2,3851,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,112
2,24,1,3854,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,175
2,24,3,3856,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,62
2,24,2,3857,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,171
2,24,1,3861,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,26
2,24,3,3862,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,141
2,24,2,3863,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,24
2,24,3,3867,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,112
2,24,1,3868,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1
2,24,2,3870,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,3
2,24,1,3874,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,205
2,24,3,3875,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,41
2,24,2,3876,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,41
2,24,1,3880,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,222
2,24,3,3882,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,243
2,24,2,3883,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,102
2,24,1,3887,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,215
2,24,2,3888,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,211
2,24,3,3890,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,143
