PacketType,PayloadLen,DeviceID,Timestamp,PacketID,accel,Flags,Battery,CRC,time
2,24,3,7298,28,"[0.0, 0.0, 0.0]",3,0,141,0.168
2,24,2,7301,29,"[0.0, 0.0, 0.0]",3,0,171,0.171
2,24,3,7302,29,"[0.0, 0.0, 0.0]",3,0,77,0.172
2,24,1,7303,29,"[0.0, 0.0, 0.0]",3,0,169,0.173
2,24,1,7307,30,"[0.0, 0.0, 0.0]",3,0,238,0.177
2,24,2,7308,30,"[0.0, 0.0, 0.0]",3,0,176,0.178
2,24,3,7309,30,"[0.0, 0.0, 0.0]",3,0,37,0.179
2,24,2,7313,31,"[0.0, 0.0, 0.0]",3,0,144,0.183
2,24,1,7314,31,"[0.0, 0.0, 0.0]",3,0,40,0.184
2,24,3,7315,31,"[0.0, 0.0, 0.0]",3,0,204,0.185
2,24,3,7319,32,"[0.0, 0.0, 0.0]",3,0,93,0.189
2,24,2,7320,32,"[0.0, 0.0, 0.0]",3,0,150,0.19
2,24,1,7321,32,"[0.0, 0.0, 0.0]",3,0,93,0.191
2,24,2,7324,33,"[0.0, 0.0, 0.0]",3,0,86,0.194
2,24,3,7325,33,"[0.0, 0.0, 0.0]",3,0,195,0.195
2,24,1,7326,33,"[0.0, 0.0, 0.0]",3,0,84,0.196
2,24,2,7329,34,"[0.0, 0.0, 0.0]",3,0,31,0.199
2,24,1,7330,34,"[0.0, 0.0, 0.0]",3,0,167,0.2
2,24,3,7331,34,"[0.0, 0.0, 0.0]",3,0,67,0.201
2,24,2,7335,35,"[0.0, 0.0, 0.0]",3,0,172,0.205
2,24,1,7336,35,"[0.0, 0.0, 0.0]",3,0,57,0.206
2,24,3,7337,35,"[0.0, 0.0, 0.0]",3,0,221,0.207
2,24,1,7342,36,"[0.0, 0.0, 0.0]",3,0,94,0.212
2,24,2,7343,36,"[0.0, 0.0, 0.0]",3,0,149,0.213
2,24,3,7344,36,"[0.0, 0.0, 0.0]",3,0,207,0.214
2,24,1,7348,37,"[0.0, 0.0, 0.0]",3,0,81,0.218
2,24,3,7349,37,"[0.0, 0.0, 0.0]",3,0,181,0.219
2,24,1,7350,37,"[0.0, 0.0, 0.0]",3,0,34,0.22
2,24,2,7351,37,"[0.0, 0.0, 0.0]",3,0,233,0.221
2,24,2,7355,38,"[0.0, 0.0, 0.0]",3,0,174,0.225
2,24,1,7356,38,"[0.0, 0.0, 0.0]",3,0,240,0.226
2,24,3,7357,38,"[0.0, 0.0, 0.0]",3,0,20,0.227
2,24,2,7361,39,"[0.0, 0.0, 0.0]",3,0,206,0.231
2,24,1,7362,39,"[0.0, 0.0, 0.0]",3,0,118,0.232
2,24,3,7363,39,"[0.0, 0.0, 0.0]",3,0,146,0.233
2,24,3,7368,40,"[0.0, 0.0, 0.0]",3,0,85,0.238
2,24,2,7369,40,"[0.0, 0.0, 0.0]",3,0,192,0.239
2,24,3,7370,40,"[0.0, 0.0, 0.0]",3,0,38,0.24
2,24,1,7371,40,"[0.0, 0.0, 0.0]",3,0,194,0.241
2,24,2,7375,41,"[0.0, 0.0, 0.0]",3,0,115,0.245
2,24,1,7376,41,"[0.0, 0.0, 0.0]",3,0,119,0.246
2,24,3,7377,41,"[0.0, 0.0, 0.0]",3,0,147,0.247
2,24,2,7381,42,"[0.0, 0.0, 0.0]",3,0,48,0.251
2,24,1,7382,42,"[0.0, 0.0, 0.0]",3,0,136,0.252
2,24,3,7383,42,"[0.0, 0.0, 0.0]",3,0,108,0.253
2,24,2,7386,43,"[0.0, 0.0, 0.0]",3,0,242,0.256
2,24,1,7387,43,"[0.0, 0.0, 0.0]",3,0,57,0.257
2,24,3,7388,43,"[0.0, 0.0, 0.0]",3,0,72,0.258
2,24,1,7392,44,"[0.0, 0.0, 0.0]",3,0,125,0.262
2,24,3,7393,44,"[0.0, 0.0, 0.0]",3,0,153,0.263
2,24,2,7395,44,"[0.0, 0.0, 0.0]",3,0,197,0.265
2,24,3,7398,45,"[0.0, 0.0, 0.0]",3,0,144,0.268
2,24,1,7399,45,"[0.0, 0.0, 0.0]",3,0,116,0.269
2,24,2,7400,45,"[0.0, 0.0, 0.0]",3,0,225,0.27
2,24,3,7404,46,"[0.0, 0.0, 0.0]",3,0,66,0.274
2,24,1,7406,46,"[0.0, 0.0, 0.0]",3,0,111,0.276
2,24,2,7407,46,"[0.0, 0.0, 0.0]",3,0,164,0.277
2,24,2,7410,47,"[0.0, 0.0, 0.0]",3,0,132,0.28
2,24,1,7411,47,"[0.0, 0.0, 0.0]",3,0,79,0.281
2,24,3,7412,47,"[0.0, 0.0, 0.0]",3,0,62,0.282
2,24,2,7417,48,"[0.0, 0.0, 0.0]",3,0,45,0.287
2,24,1,7418,48,"[0.0, 0.0, 0.0]",3,0,149,0.288
2,24,3,7419,48,"[0.0, 0.0, 0.0]",3,0,113,0.289
2,24,2,7422,49,"[0.0, 0.0, 0.0]",3,0,36,0.292
2,24,3,7423,49,"[0.0, 0.0, 0.0]",3,0,177,0.293
2,24,1,7424,49,"[0.0, 0.0, 0.0]",3,0,95,0.294
2,24,2,7427,50,"[0.0, 0.0, 0.0]",3,0,141,0.297
2,24,3,7428,50,"[0.0, 0.0, 0.0]",3,0,141,0.298
2,24,1,7429,50,"[0.0, 0.0, 0.0]",3,0,105,0.299
2,24,3,7432,51,"[0.0, 0.0, 0.0]",3,0,134,0.302
2,24,1,7433,51,"[0.0, 0.0, 0.0]",3,0,98,0.303
2,24,2,7434,51,"[0.0, 0.0, 0.0]",3,0,218,0.304
2,24,2,7438,52,"[0.0, 0.0, 0.0]",3,0,206,0.308
2,24,1,7439,52,"[0.0, 0.0, 0.0]",3,0,5,0.309
2,24,3,7440,52,"[0.0, 0.0, 0.0]",3,0,46,0.31
2,24,1,7444,53,"[0.0, 0.0, 0.0]",3,0,176,0.314
2,24,2,7445,53,"[0.0, 0.0, 0.0]",3,0,123,0.315
2,24,3,7447,53,"[0.0, 0.0, 0.0]",3,0,39,0.317
2,24,2,7451,54,"[0.0, 0.0, 0.0]",3,0,79,0.321
2,24,1,7452,54,"[0.0, 0.0, 0.0]",3,0,17,0.322
2,24,3,7453,54,"[0.0, 0.0, 0.0]",3,0,245,0.323
2,24,1,7457,55,"[0.0, 0.0, 0.0]",3,0,20,0.327
2,24,3,7458,55,"[0.0, 0.0, 0.0]",3,0,131,0.328
2,24,2,7459,55,"[0.0, 0.0, 0.0]",3,0,22,0.329
